Time elapsed in seconds,Controlled Lighting Units Power Usage (moving),All Lighting Units Activated Usage,Controlled Lighting Units Power Usage (Standing still)
0.1130803,0.0003148908,0.35064888,8.14E-05
0.2191562,0.001543773333,0.60763272,0.0010802396
0.3222277,0.003290320667,0.85500432,0.0027647796
0.4369759,0.005752660933,1.1304,0.004856661867
0.5371523,0.008373201867,1.37082336,0.007926029067
0.658799,0.0121479488,1.66277544,0.01139201293
0.7583779,0.01580101613,1.9017648,0.01584429493
0.8798698,0.0208712584,2.19334536,0.02085282973
0.999713,0.02661724427,2.48096904,0.02608116333
1.1055092,0.0322597636,2.73487992,0.03197949373
1.2283956,0.03951822,3.02980728,0.0385213288
1.3482833,0.0472776188,3.3151248,0.04541501813
1.4449204,0.05414065347,3.5494668,0.05061125115
1.5559643,0.06222681027,3.81597216,0.05048480099
1.6675026,0.07031996013,4.08366408,0.05101910988
1.7729138,0.07796817827,4.33665096,0.05761881083
1.8928503,0.08667139013,4.62449856,0.07396539884
2.005515,0.09514727467,4.89489384,0.0962560711
2.1112192,0.1018155921,5.14858392,0.1237345724
2.2130245,0.1012697251,5.39291664,0.1570019499
2.3349465,0.106291186,5.68312776,0.1948970849
2.4566715,0.1176988002,5.97766944,0.233245346
2.5674434,0.1332754297,6.243522,0.2746191354
2.6773279,0.1532698368,6.5072448,0.3167651687
2.7896132,0.177608417,6.77672952,0.3594040159
2.9064928,0.2046253833,7.05724056,0.4077577579
3.0202767,0.2324665581,7.33032192,0.4589808328
3.1187279,0.2581990797,7.5666048,0.5072971895
3.2317856,0.289739805,7.83794328,0.5415185403
3.3412715,0.322300162,8.10070944,0.572574245
3.4553783,0.3580018997,8.37456576,0.5969641535
3.5560717,0.3900113553,8.61622992,0.6205431308
3.6640557,0.425142746,8.87539152,0.644292277
3.7748678,0.4608101077,9.14134056,0.6683404544
3.8852885,0.4963463496,9.40635024,0.691431103
3.9929843,0.5321582554,9.66482016,0.7135103099
4.1198103,0.5715913873,9.96920256,0.7351650114
4.2295695,0.6061534252,10.23262464,0.7545300544
4.3353237,0.6371329878,10.48643472,0.7748443625
4.4571684,0.6725353593,10.778862,0.7953894284
4.5619668,0.7039797645,11.03037816,0.8171474975
4.6667961,0.7349264392,11.28196848,0.8368026568
4.7804392,0.7672564193,11.55471192,0.8620966822
4.893978,0.8017049708,11.82720504,0.8842547132
4.9910424,0.8307026311,12.05775768,0.905819256
5.1088448,0.8631398842,12.34288536,0.92553846
5.2111556,0.8915895487,12.58843128,0.9489616362
5.323042,0.9235968497,12.85695864,0.9734471673
5.4339088,0.957439512,13.12303896,0.9990741114
5.5407001,0.9910262291,13.37933808,1.020833729
5.663031,1.027367446,13.67293224,1.042416085
5.7761875,1.061603595,13.94450784,1.064375102
5.8901407,1.097067735,14.21799552,1.086133233
5.9932118,1.127783294,14.46536616,1.10690884
6.1117033,1.161191432,14.74974576,1.128865757
6.2111248,1.19011368,14.98835736,1.148185203
6.3299409,1.223920584,15.2711112,1.171192293
6.4286239,1.251675573,15.5103552,1.193322469
6.5443724,1.282591296,15.7881516,1.215459995
6.660578,1.310166668,16.06704504,1.234747584
6.768045,1.334924134,16.32256512,1.256660801
6.8797214,1.362922993,16.5929892,1.277498622
6.9922406,1.38642403,16.86303528,1.296689387
7.1270479,1.411238071,17.1865728,1.318934865
7.238906,1.436508093,17.45503224,1.337599362
7.3606741,1.468612449,17.74487616,1.36010892
7.4589025,1.495390325,17.98302384,1.378894557
7.5814781,1.530278299,18.27481368,1.400975462
7.6809997,1.56006693,18.51605712,1.419877972
7.7978836,1.595811111,18.79657848,1.442033479
7.8965726,1.628497035,19.03343208,1.464177387
8.0121094,1.668684508,19.3107204,1.483055963
8.1288256,1.708762618,19.59083928,1.505584504
8.2279081,1.743462928,19.82863728,1.524321682
8.3381813,1.776137883,20.09329296,1.546454761
8.4502473,1.805646003,20.35984968,1.565163938
8.5617941,1.83325677,20.62996368,1.587455111
8.6777624,1.860971232,20.9082876,1.606604295
8.7915608,1.8845715,21.18140376,1.628366789
8.9210882,1.911762257,21.49226952,1.65006614
9.0358586,1.936634852,21.76771848,1.669356542
9.1456687,1.957585654,22.03126272,1.691323502
9.2467197,1.977096123,22.27378512,1.713082549
9.3581788,1.998554574,22.54128696,1.735022735
9.4599593,2.01879403,22.78556016,1.755255564
9.5814977,2.042295212,23.07725232,1.77722371
9.693804,2.064371772,23.34678744,1.797849418
9.8163381,2.08892736,23.64086928,1.819922705
9.9140546,2.109492205,23.87538888,1.841672286
10.0309479,2.132804403,24.1559328,1.863267957
10.1319257,2.153265372,24.39827952,1.88290537
10.2431731,2.176779639,24.66527328,1.905051464
10.3641065,2.202546941,24.95551344,1.925854608
10.4787272,2.225985465,25.23060312,1.945014761
10.5936876,2.251149053,25.50650808,1.965035842
10.7063167,2.275964279,25.77681792,1.987486715
10.8150423,2.300375416,26.03775936,2.009609382
10.9128884,2.317874187,26.27018832,2.032129494
11.0377082,2.341165599,26.57215752,2.051427618
11.1621586,2.366609236,26.87083848,2.071536134
11.2849689,2.393419343,27.1655832,2.092106942
11.3840411,2.416299425,27.40335648,2.114575281
11.4976795,2.438655143,27.6736368,2.136361374
11.6073468,2.460328678,27.93688728,2.155273414
11.7161181,2.483096229,28.20034128,2.175878783
11.831935,2.506505944,28.47830184,2.196502991
11.9306574,2.527143597,28.7152356,2.217200379
12.0431818,2.551820536,28.98529416,2.237337328
12.1569737,2.576917153,29.25839472,2.25928108
12.2687267,2.603266496,29.52660192,2.281399018
12.3826007,2.630227515,29.79989952,2.300691641
12.5124177,2.656379725,30.11146032,2.323206033
12.6244542,2.679636515,30.38034792,2.346478391
12.7546359,2.704476023,30.692784,2.367099172
12.8506119,2.722689537,30.9231264,2.386019205
12.9674962,2.743735262,31.20364872,2.407710086
13.0781877,2.765466533,31.46930832,2.429666052
13.1917325,2.788271429,31.73941416,2.451597963
13.3055754,2.813589196,32.012634,2.473938904
13.4124218,2.838346199,32.27147016,2.493044113
13.5370676,2.867047608,32.57062008,2.514287688
13.664615,2.89659967,32.87673384,2.534666704
13.7743691,2.918847483,33.14014368,2.556606694
13.9011865,2.942113547,33.44450544,2.578300244
14.0069609,2.962360178,33.698364,2.600631214
14.1329136,2.984794568,34.00065048,2.622943828
14.2583852,3.007678752,34.30178232,2.645477272
14.3850888,3.032803089,34.60587096,2.664202042
14.4918301,3.054300957,34.86205008,2.685055379
14.6116695,3.078140701,35.14966464,2.706003854
14.7195231,3.099070507,35.40610632,2.727971143
14.8252273,3.121105415,35.66220336,2.747188895
14.9400537,3.14447512,35.93778672,2.772170888
15.0538393,3.167134,36.21087216,2.794124315
15.1774784,3.188651336,36.507606,2.815895054
15.282291,3.205030903,36.75915624,2.838220405
15.3898336,3.223094288,37.01725848,2.856917318
15.4955549,3.241927361,37.2709896,2.879461689
